T,E,M
1.5226262626262625,-7176.0,8.0
1.5831313131313132,-8992.0,46.0
1.6436363636363638,-9880.0,62.0
1.7041414141414142,-10216.0,-50.0
1.7646464646464646,-10456.0,-86.0
1.8251515151515152,-10608.0,-26.0
1.8856565656565658,-10808.0,42.0
1.9461616161616162,-10864.0,48.0
2.0066666666666664,-10840.0,82.0
2.0671717171717168,-10968.0,74.0
2.1276767676767676,-10680.0,192.0
2.188181818181818,-10432.0,122.0
2.2486868686868684,-10264.0,146.0
2.3091919191919192,-10136.0,92.0
2.3696969696969696,-9672.0,126.0
2.43020202020202,-9624.0,110.0
2.4907070707070704,-9224.0,134.0
2.551212121212121,-9224.0,54.0
2.6117171717171717,-8832.0,0.0
2.672222222222222,-8432.0,26.0
2.7327272727272724,-8440.0,74.0
2.7932323232323233,-8248.0,162.0
2.8537373737373737,-7896.0,302.0
2.914242424242424,-7560.0,230.0
2.9747474747474745,-7216.0,212.0
3.035252525252525,-6776.0,166.0
3.0957575757575757,-6112.0,238.0
3.156262626262626,-6528.0,184.0
3.2167676767676765,-6184.0,188.0
3.2772727272727273,-5824.0,130.0
3.3377777777777777,-5744.0,154.0
3.398282828282828,-5048.0,114.0
3.4587878787878785,-5608.0,180.0
3.519292929292929,-5408.0,190.0
3.5797979797979798,-5184.0,192.0
3.64030303030303,-5424.0,58.0
3.7008080808080805,-5272.0,-10.0
3.7613131313131314,-5176.0,-70.0
3.821818181818182,-4984.0,-104.0
3.882323232323232,-5240.0,-132.0
3.9428282828282826,-5024.0,-88.0
4.003333333333333,-4824.0,-76.0
4.063838383838384,-4408.0,2.0
4.124343434343434,-4368.0,50.0
4.184848484848485,-4648.0,60.0
4.245353535353535,-4360.0,48.0
4.305858585858585,-4416.0,-34.0
4.366363636363636,-4448.0,76.0
4.426868686868687,-4464.0,118.0
4.487373737373737,-4040.0,124.0
4.547878787878788,-4016.0,134.0
4.608383838383839,-3368.0,158.0
4.668888888888889,-3320.0,176.0
4.7293939393939395,-3608.0,120.0
4.789898989898989,-3928.0,104.0
4.85040404040404,-3544.0,-32.0
4.910909090909091,-3936.0,-62.0
4.971414141414141,-3448.0,-70.0
5.031919191919192,-3728.0,-104.0
5.092424242424242,-3344.0,-166.0
5.152929292929293,-3200.0,-182.0
5.2134343434343435,-3216.0,-88.0
5.2739393939393935,-3496.0,26.0
5.334444444444444,-3592.0,62.0
5.394949494949495,-2936.0,100.0
5.455454545454545,-2704.0,24.0
5.515959595959596,-3280.0,-82.0
5.576464646464647,-3032.0,-136.0
5.636969696969697,-2968.0,-52.0
5.697474747474748,-2952.0,-60.0
5.7579797979797975,-2960.0,-18.0
5.818484848484848,-2872.0,54.0
5.878989898989899,-3072.0,70.0
5.939494949494949,-2800.0,12.0
6.0,-2880.0,-190.0
6.0,-2664.0,-82.0
5.939494949494949,-2888.0,-22.0
5.878989898989899,-2920.0,-112.0
5.818484848484848,-3088.0,34.0
5.7579797979797975,-2808.0,-58.0
5.697474747474748,-3192.0,-98.0
5.636969696969697,-3320.0,-24.0
5.576464646464647,-2936.0,84.0
5.515959595959596,-3184.0,14.0
5.455454545454545,-3120.0,-38.0
5.394949494949495,-3104.0,-10.0
5.334444444444444,-3144.0,-66.0
5.2739393939393935,-3160.0,22.0
5.2134343434343435,-3328.0,106.0
5.152929292929293,-3312.0,92.0
5.092424242424242,-3440.0,-40.0
5.031919191919192,-3368.0,96.0
4.971414141414141,-3488.0,-14.0
4.910909090909091,-3552.0,44.0
4.85040404040404,-3720.0,22.0
4.789898989898989,-3448.0,24.0
4.7293939393939395,-3224.0,-18.0
4.668888888888889,-4024.0,54.0
4.608383838383839,-4168.0,18.0
4.547878787878788,-3824.0,-32.0
4.487373737373737,-3904.0,-106.0
4.426868686868687,-3968.0,-68.0
4.366363636363636,-4272.0,-12.0
4.305858585858585,-3960.0,4.0
4.245353535353535,-3976.0,120.0
4.184848484848485,-4344.0,80.0
4.124343434343434,-4232.0,138.0
4.063838383838384,-4416.0,-20.0
4.003333333333333,-4680.0,-118.0
3.9428282828282826,-4344.0,-90.0
3.882323232323232,-4792.0,-62.0
3.821818181818182,-5160.0,-66.0
3.7613131313131314,-5248.0,-26.0
3.7008080808080805,-5032.0,4.0
3.64030303030303,-5400.0,34.0
3.5797979797979798,-5160.0,104.0
3.519292929292929,-5128.0,30.0
3.4587878787878785,-5216.0,-14.0
3.398282828282828,-5232.0,18.0
3.3377777777777777,-5496.0,-210.0
3.2772727272727273,-5848.0,-274.0
3.2167676767676765,-5752.0,-192.0
3.156262626262626,-5824.0,-202.0
3.0957575757575757,-5840.0,-86.0
3.035252525252525,-6288.0,28.0
2.9747474747474745,-6296.0,-8.0
2.914242424242424,-6336.0,160.0
2.8537373737373737,-6232.0,258.0
2.7932323232323233,-6680.0,154.0
2.7327272727272724,-7240.0,152.0
2.672222222222222,-7320.0,248.0
2.6117171717171717,-7704.0,238.0
2.551212121212121,-7800.0,128.0
2.4907070707070704,-8016.0,182.0
2.43020202020202,-8232.0,112.0
2.3696969696969696,-8664.0,162.0
2.3091919191919192,-9256.0,172.0
2.2486868686868684,-9432.0,238.0
2.188181818181818,-9664.0,260.0
2.1276767676767676,-10048.0,290.0
2.0671717171717168,-10600.0,242.0
2.0066666666666664,-10616.0,254.0
1.9461616161616162,-11016.0,212.0
1.8856565656565658,-11192.0,246.0
1.8251515151515152,-11576.0,302.0
1.7646464646464646,-11680.0,334.0
1.7041414141414142,-12224.0,360.0
1.6436363636363638,-12648.0,404.0
1.5831313131313132,-12768.0,422.0
1.5226262626262625,-13080.0,418.0
1.4621212121212122,-13544.0,466.0
1.4016161616161618,-13672.0,478.0
